Scenario,ScenName,Activity,Year,Median,CI_High,CI_Low
2,Amb,ag,20,-1.050209288,-0.963454098,-1.13452851
2,Amb,ag,21,-1.085554171,-0.999046335,-1.168830785
2,Amb,ag,22,-1.118252915,-1.022127498,-1.200220062
2,Amb,ag,23,-1.142614778,-1.052540346,-1.241117869
2,Amb,ag,24,-1.175947344,-1.075862034,-1.27836168
2,Amb,ag,25,-1.207391375,-1.115182029,-1.304441921
2,Amb,ag,26,-1.243137499,-1.139442357,-1.34490179
2,Amb,ag,27,-1.277064555,-1.165814113,-1.378373005
2,Amb,ag,28,-1.305754456,-1.198032604,-1.40881287
2,Amb,ag,29,-1.335082508,-1.221635499,-1.450553259
2,Amb,ag,30,-1.36642441,-1.258765085,-1.483050212
2,Amb,ag,31,-1.3976142,-1.27605693,-1.517017758
2,Amb,grass,1,-0.000436756,-0.000412826,-0.000461587
2,Amb,grass,2,-0.000871184,-0.000824369,-0.000920432
2,Amb,grass,3,-0.001305499,-0.001234058,-0.001382358
2,Amb,grass,4,-0.001746662,-0.001648066,-0.001841527
2,Amb,grass,5,-0.002184122,-0.0020604,-0.002308007
2,Amb,grass,6,-0.002622678,-0.002474585,-0.002766925
2,Amb,grass,7,-0.003054945,-0.002890573,-0.003238743
2,Amb,grass,8,-0.00348201,-0.003283603,-0.003685266
2,Amb,grass,9,-0.00392115,-0.003705238,-0.004153799
2,Amb,grass,10,-0.004365937,-0.004114082,-0.004604125
2,Amb,grass,11,-0.004366946,-0.00412891,-0.004610698
2,Amb,grass,12,-0.004357643,-0.004115684,-0.004599641
2,Amb,grass,13,-0.004370828,-0.004103441,-0.004618934
2,Amb,grass,14,-0.004368562,-0.0041068,-0.004596088
2,Amb,grass,15,-0.004356092,-0.004126636,-0.004605219
2,Amb,grass,16,-0.004360468,-0.004112032,-0.004615722
2,Amb,grass,17,-0.004357241,-0.004113355,-0.004618849
2,Amb,grass,18,-0.004364335,-0.00411776,-0.004616992
2,Amb,grass,19,-0.004366858,-0.004119136,-0.004613824
2,Amb,grass,20,-0.004369428,-0.004120905,-0.004613541
2,Amb,grass,21,-0.004356796,-0.004112484,-0.004595758
2,Amb,grass,22,-0.004361754,-0.00410664,-0.00461074
2,Amb,grass,23,-0.004372633,-0.004140949,-0.004618841
2,Amb,grass,24,-0.004365298,-0.00410033,-0.00460222
2,Amb,grass,25,-0.004361026,-0.004121936,-0.004614277
2,Amb,grass,26,-0.004363769,-0.004120967,-0.004628796
2,Amb,grass,27,-0.004365562,-0.004117333,-0.004608787
2,Amb,grass,28,-0.004374277,-0.004124093,-0.004601778
2,Amb,grass,29,-0.004371732,-0.004134606,-0.004622465
2,Amb,grass,30,-0.004371147,-0.004123945,-0.004597613
2,Amb,grass,31,-0.004372085,-0.004120539,-0.004606158
2,Amb,ifm,1,-1.764763058,-1.70308482,-1.832785395
2,Amb,ifm,2,-2.105556601,-2.024377302,-2.189983505
2,Amb,ifm,3,-2.502995019,-2.405650967,-2.60015432
2,Amb,ifm,4,-2.963939667,-2.838313741,-3.084306303
2,Amb,ifm,5,-3.446376795,-3.302249851,-3.577545796
2,Amb,ifm,6,-3.840421603,-3.686174371,-3.999293309
2,Amb,ifm,7,-4.15140747,-3.982906338,-4.32752219
2,Amb,ifm,8,-4.424327581,-4.256731022,-4.602921743
2,Amb,ifm,9,-4.666362584,-4.488398121,-4.855915585
2,Amb,ifm,10,-4.830038198,-4.641526873,-5.014534718
2,Amb,ifm,11,-5.132755032,-4.952428655,-5.339902303
2,Amb,ifm,12,-5.166436967,-4.978723181,-5.356192775
2,Amb,ifm,13,-5.224590815,-5.015085698,-5.408571518
2,Amb,ifm,14,-5.244695571,-5.03852357,-5.454488544
2,Amb,ifm,15,-5.279895326,-5.080264691,-5.486188585
2,Amb,ifm,16,-5.31484726,-5.092941424,-5.500254981
2,Amb,ifm,17,-5.33940961,-5.142431797,-5.544794094
2,Amb,ifm,18,-5.362422441,-5.165950811,-5.573868011
2,Amb,ifm,19,-5.400979673,-5.188831309,-5.599257233
2,Amb,ifm,20,-5.414586932,-5.209845381,-5.621272518
2,Amb,ifm,21,-5.444530771,-5.241630119,-5.649061395
2,Amb,ifm,22,-5.465479237,-5.269545669,-5.686634074
2,Amb,ifm,23,-5.486522408,-5.293619331,-5.699078793
2,Amb,ifm,24,-5.508591068,-5.301869345,-5.725601863
2,Amb,ifm,25,-5.522461011,-5.303363878,-5.733629543
2,Amb,ifm,26,-5.546054516,-5.321265569,-5.753055565
2,Amb,ifm,27,-5.563124588,-5.345296358,-5.767145219
2,Amb,ifm,28,-5.584245363,-5.364321366,-5.79984603
2,Amb,ifm,29,-5.601080154,-5.381921718,-5.820210339
2,Amb,ifm,30,-5.611035233,-5.399814809,-5.825602707
